algorithm,domain,problem,horizon,coverage,total_time,plan_length
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-5-1.pddl, 10, 1, 0.64, 54
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-5-2.pddl, 10, 1, 0.63, 57
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-6-0.pddl, 10, 1, 1.46, 65
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-6-1.pddl, 10, 1, 0.81, 66
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-6-2.pddl, 10, 1, 0.66, 64
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-6-9.pddl, 10, 1, 0.79, 67
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-7-0.pddl, 10, 1, 0.72, 74
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-7-1.pddl, 10, 1, 0.72, 83
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-8-0.pddl, 10, 1, 0.72, 84
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-8-1.pddl, 10, 1, 0.74, 85
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-9-0.pddl, 10, 1, 0.75, 99
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-9-1.pddl, 10, 1, 0.73, 94
main-fd-grounding+madagascar-horizon-11, gripper, prob01.pddl, 11, 1, 0.62, 24
main-fd-grounding+madagascar-horizon-11, gripper, prob02.pddl, 11, 1, 0.62, 24
main-fd-grounding+madagascar-horizon-11, gripper, prob03.pddl, 11, 1, 0.6, 24
main-fd-grounding+madagascar-horizon-11, gripper, prob04.pddl, 11, 1, 0.69, 30
main-fd-grounding+madagascar-horizon-11, gripper, prob05.pddl, 11, 0, 22.42, NA
main-fd-grounding+madagascar-horizon-11, gripper, prob06.pddl, 11, 0, 26.77, NA
main-fd-grounding+madagascar-horizon-11, gripper, prob07.pddl, 11, 0, 35.63, NA
main-fd-grounding+madagascar-horizon-11, gripper, prob08.pddl, 11, 0, 28.57, NA
main-fd-grounding+madagascar-horizon-11, gripper, prob09.pddl, 11, 0, 50.84, NA
main-fd-grounding+madagascar-horizon-11, gripper, prob10.pddl, 11, 0, 30.35, NA
main-fd-grounding+madagascar-horizon-11, gripper, prob11.pddl, 11, 0, 62.11, NA
main-fd-grounding+madagascar-horizon-11, gripper, prob12.pddl, 11, 0, 40.72, NA
main-fd-grounding+madagascar-horizon-11, gripper, prob13.pddl, 11, 0, 32.88, NA
main-fd-grounding+madagascar-horizon-11, gripper, prob14.pddl, 11, 0, 36.55, NA
main-fd-grounding+madagascar-horizon-11, gripper, prob15.pddl, 11, 0, 65.54, NA
main-fd-grounding+madagascar-horizon-11, gripper, prob16.pddl, 11, 0, 48.72, NA
main-fd-grounding+madagascar-horizon-11, gripper, prob17.pddl, 11, 0, 33.86, NA
main-fd-grounding+madagascar-horizon-11, gripper, prob18.pddl, 11, 0, 53.86, NA
main-fd-grounding+madagascar-horizon-11, gripper, prob19.pddl, 11, 0, 48.22, NA
main-fd-grounding+madagascar-horizon-11, gripper, prob20.pddl, 11, 0, 49.12, NA
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-10-0.pddl, 11, 1, 0.92, 92
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-10-1.pddl, 11, 1, 0.86, 97
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-11-0.pddl, 11, 1, 1.79, 118
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-11-1.pddl, 11, 1, 0.93, 111
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-12-0.pddl, 11, 1, 0.97, 120
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-12-1.pddl, 11, 1, 0.95, 123
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-13-0.pddl, 11, 1, 1.35, 158
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-13-1.pddl, 11, 1, 1.33, 130
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-14-0.pddl, 11, 1, 1.36, 161
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-14-1.pddl, 11, 1, 1.38, 160
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-15-0.pddl, 11, 1, 1.39, 169
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-15-1.pddl, 11, 1, 1.41, 173
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-4-0.pddl, 11, 1, 0.66, 58
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-4-1.pddl, 11, 1, 0.75, 54
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-4-2.pddl, 11, 1, 0.62, 57
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-5-0.pddl, 11, 1, 0.68, 64
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-5-1.pddl, 11, 1, 0.64, 64
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-5-2.pddl, 11, 1, 0.66, 63
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-6-0.pddl, 11, 1, 0.65, 72
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-6-1.pddl, 11, 1, 0.64, 65
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-6-2.pddl, 11, 1, 0.63, 76
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-6-9.pddl, 11, 1, 0.64, 75
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-7-0.pddl, 11, 1, 0.71, 89
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-7-1.pddl, 11, 1, 0.72, 87
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-8-0.pddl, 11, 1, 0.76, 87
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-8-1.pddl, 11, 1, 0.72, 96
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-9-0.pddl, 11, 1, 0.86, 104
main-fd-grounding+madagascar-horizon-11, logistics00, probLOGISTICS-9-1.pddl, 11, 1, 0.75, 91
main-fd-grounding+madagascar-horizon-12, gripper, prob01.pddl, 12, 1, 0.6, 28
main-fd-grounding+madagascar-horizon-12, gripper, prob02.pddl, 12, 1, 1.68, 27
main-fd-grounding+madagascar-horizon-12, gripper, prob03.pddl, 12, 1, 0.85, 28
main-fd-grounding+madagascar-horizon-12, gripper, prob04.pddl, 12, 1, 0.68, 32
main-fd-grounding+madagascar-horizon-12, gripper, prob05.pddl, 12, 1, 0.69, 36
main-fd-grounding+madagascar-horizon-12, gripper, prob06.pddl, 12, 0, 161.7, NA
main-fd-grounding+madagascar-horizon-12, gripper, prob07.pddl, 12, 0, 155.05, NA
main-fd-grounding+madagascar-horizon-12, gripper, prob08.pddl, 12, 0, 334.46, NA
main-fd-grounding+madagascar-horizon-12, gripper, prob09.pddl, 12, 0, 391.66, NA
main-fd-grounding+madagascar-horizon-12, gripper, prob10.pddl, 12, 0, 283.57, NA
main-fd-grounding+madagascar-horizon-12, gripper, prob11.pddl, 12, 0, 293.9, NA
main-fd-grounding+madagascar-horizon-12, gripper, prob12.pddl, 12, 0, 89.33, NA
main-fd-grounding+madagascar-horizon-12, gripper, prob13.pddl, 12, 0, 267.71, NA
main-fd-grounding+madagascar-horizon-12, gripper, prob14.pddl, 12, 0, 141.96, NA
main-fd-grounding+madagascar-horizon-12, gripper, prob15.pddl, 12, 0, 198.62, NA
main-fd-grounding+madagascar-horizon-12, gripper, prob16.pddl, 12, 0, 235.9, NA
main-fd-grounding+madagascar-horizon-12, gripper, prob17.pddl, 12, 0, 194.03, NA
main-fd-grounding+madagascar-horizon-12, gripper, prob18.pddl, 12, 0, 228.55, NA
main-fd-grounding+madagascar-horizon-12, gripper, prob19.pddl, 12, 0, 371.48, NA
main-fd-grounding+madagascar-horizon-12, gripper, prob20.pddl, 12, 0, 271.35, NA
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-10-0.pddl, 12, 1, 1.05, 103
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-10-1.pddl, 12, 1, 0.95, 106
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-11-0.pddl, 12, 1, 0.99, 133
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-11-1.pddl, 12, 1, 0.94, 119
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-12-0.pddl, 12, 1, 0.9, 132
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-12-1.pddl, 12, 1, 1.2, 141
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-13-0.pddl, 12, 1, 1.28, 149
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-13-1.pddl, 12, 1, 1.81, 144
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-14-0.pddl, 12, 1, 1.33, 174
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-14-1.pddl, 12, 1, 1.35, 179
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-15-0.pddl, 12, 1, 1.42, 175
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-15-1.pddl, 12, 1, 1.64, 175
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-4-0.pddl, 12, 1, 0.65, 58
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-4-1.pddl, 12, 1, 0.63, 56
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-4-2.pddl, 12, 1, 0.68, 64
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-5-0.pddl, 12, 1, 0.62, 66
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-5-1.pddl, 12, 1, 0.63, 64
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-5-2.pddl, 12, 1, 0.65, 70
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-6-0.pddl, 12, 1, 1.1, 78
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-6-1.pddl, 12, 1, 0.66, 78
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-6-2.pddl, 12, 1, 0.66, 74
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-6-9.pddl, 12, 1, 0.65, 80
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-7-0.pddl, 12, 1, 0.74, 93
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-7-1.pddl, 12, 1, 0.74, 96
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-8-0.pddl, 12, 1, 0.78, 94
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-8-1.pddl, 12, 1, 0.78, 99
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-9-0.pddl, 12, 1, 0.79, 124
main-fd-grounding+madagascar-horizon-12, logistics00, probLOGISTICS-9-1.pddl, 12, 1, 0.75, 106
main-fd-grounding+madagascar-horizon-13, gripper, prob01.pddl, 13, 1, 0.65, 28
main-fd-grounding+madagascar-horizon-13, gripper, prob02.pddl, 13, 1, 0.61, 27
main-fd-grounding+madagascar-horizon-13, gripper, prob03.pddl, 13, 1, 0.78, 30
main-fd-grounding+madagascar-horizon-13, gripper, prob04.pddl, 13, 1, 0.64, 36
main-fd-grounding+madagascar-horizon-13, gripper, prob05.pddl, 13, 1, 0.69, 36
main-fd-grounding+madagascar-horizon-13, gripper, prob06.pddl, 13, 0, 548.78, NA
main-fd-grounding+madagascar-horizon-13, gripper, prob07.pddl, 13, 0, 239.35, NA
main-fd-grounding+madagascar-horizon-13, gripper, prob08.pddl, 13, 0, 272.65, NA
main-fd-grounding+madagascar-horizon-13, gripper, prob09.pddl, 13, 0, 279.06, NA
main-fd-grounding+madagascar-horizon-13, gripper, prob10.pddl, 13, 0, 777.43, NA
main-fd-grounding+madagascar-horizon-13, gripper, prob11.pddl, 13, 0, 262.55, NA
main-fd-grounding+madagascar-horizon-13, gripper, prob12.pddl, 13, 0, 391.55, NA
main-fd-grounding+madagascar-horizon-13, gripper, prob13.pddl, 13, 0, 405.03, NA
main-fd-grounding+madagascar-horizon-13, gripper, prob14.pddl, 13, 0, 900.37, NA
main-fd-grounding+madagascar-horizon-13, gripper, prob15.pddl, 13, 0, 1245.91, NA
main-fd-grounding+madagascar-horizon-13, gripper, prob16.pddl, 13, 0, 600.46, NA
main-fd-grounding+madagascar-horizon-13, gripper, prob17.pddl, 13, 0, 632.72, NA
main-fd-grounding+madagascar-horizon-13, gripper, prob18.pddl, 13, 0, 991.91, NA
main-fd-grounding+madagascar-horizon-13, gripper, prob19.pddl, 13, 0, 620.81, NA
main-fd-grounding+madagascar-horizon-13, gripper, prob20.pddl, 13, 0, 899.0, NA
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-10-0.pddl, 13, 1, 0.86, 124
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-10-1.pddl, 13, 1, 1.19, 117
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-11-0.pddl, 13, 1, 0.89, 142
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-11-1.pddl, 13, 1, 0.89, 126
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-12-0.pddl, 13, 1, 0.93, 143
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-12-1.pddl, 13, 1, 0.9, 152
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-13-0.pddl, 13, 1, 1.32, 184
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-13-1.pddl, 13, 1, 1.27, 165
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-14-0.pddl, 13, 1, 1.35, 191
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-14-1.pddl, 13, 1, 1.47, 168
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-15-0.pddl, 13, 1, 1.41, 174
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-15-1.pddl, 13, 1, 1.4, 218
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-4-0.pddl, 13, 1, 0.63, 66
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-4-1.pddl, 13, 1, 0.62, 64
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-4-2.pddl, 13, 1, 0.64, 69
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-5-0.pddl, 13, 1, 0.63, 74
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-5-1.pddl, 13, 1, 0.64, 76
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-5-2.pddl, 13, 1, 0.64, 76
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-6-0.pddl, 13, 1, 0.64, 84
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-6-1.pddl, 13, 1, 2.04, 79
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-6-2.pddl, 13, 1, 2.8, 83
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-6-9.pddl, 13, 1, 0.65, 89
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-7-0.pddl, 13, 1, 0.82, 93
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-7-1.pddl, 13, 1, 0.81, 98
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-8-0.pddl, 13, 1, 0.79, 98
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-8-1.pddl, 13, 1, 0.72, 107
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-9-0.pddl, 13, 1, 0.74, 124
main-fd-grounding+madagascar-horizon-13, logistics00, probLOGISTICS-9-1.pddl, 13, 1, 0.94, 120
main-fd-grounding+madagascar-horizon-14, gripper, prob01.pddl, 14, 1, 0.59, 32
main-fd-grounding+madagascar-horizon-14, gripper, prob02.pddl, 14, 1, 0.6, 31
main-fd-grounding+madagascar-horizon-14, gripper, prob03.pddl, 14, 1, 0.6, 32
main-fd-grounding+madagascar-horizon-14, gripper, prob04.pddl, 14, 1, 0.7, 34
main-fd-grounding+madagascar-horizon-14, gripper, prob05.pddl, 14, 1, 0.69, 36
main-fd-grounding+madagascar-horizon-14, gripper, prob06.pddl, 14, 1, 0.8, 42
main-fd-grounding+madagascar-horizon-14, gripper, prob07.pddl, 14, 0, 6191.39, NA
main-fd-grounding+madagascar-horizon-14, gripper, prob08.pddl, 14, 0, 9371.41, NA
main-fd-grounding+madagascar-horizon-14, gripper, prob09.pddl, 14, 0, 14687.5, NA
main-fd-grounding+madagascar-horizon-14, gripper, prob10.pddl, 14, 0, 9766.79, NA
main-fd-grounding+madagascar-horizon-14, gripper, prob11.pddl, 14, 0, 13092.2, NA
main-fd-grounding+madagascar-horizon-14, gripper, prob12.pddl, 14, 0, 15080.39, NA
main-fd-grounding+madagascar-horizon-14, gripper, prob13.pddl, 14, 0, 11306.34, NA
main-fd-grounding+madagascar-horizon-14, gripper, prob14.pddl, 14, 0, 5934.08, NA
main-fd-grounding+madagascar-horizon-14, gripper, prob15.pddl, 14, 0, 19550.99, NA
main-fd-grounding+madagascar-horizon-14, gripper, prob16.pddl, 14, 0, 4746.84, NA
main-fd-grounding+madagascar-horizon-14, gripper, prob17.pddl, 14, 0, 15791.21, NA
main-fd-grounding+madagascar-horizon-14, gripper, prob18.pddl, 14, 0, 19581.7, NA
main-fd-grounding+madagascar-horizon-14, gripper, prob19.pddl, 14, 0, 4318.27, NA
main-fd-grounding+madagascar-horizon-14, gripper, prob20.pddl, 14, 0, 10544.22, NA
main-fd-grounding+madagascar-horizon-14, logistics00, probLOGISTICS-10-0.pddl, 14, 1, 0.9, 114
main-fd-grounding+madagascar-horizon-14, logistics00, probLOGISTICS-10-1.pddl, 14, 1, 0.84, 125
main-fd-grounding+madagascar-horizon-14, logistics00, probLOGISTICS-11-0.pddl, 14, 1, 0.89, 157
